"","YEAR","TEAM","SEED","KADJ_O","KADJ_D","BARTHAG","WIN_","FTR","TOV_","TOV_D","OREB_","DREB_","X3PT_","X3PT_D","AST_","EXP","ELITE_SOS","WINS","POWER","PATH"
"461",2014,"Cal Poly",16,103.247,103.846,0.47,36.66667,33,14.8,17.9,30.8,67,33.5,34,52.3,1.814,19.389,0,50.9,83.8
"462",2014,"BYU",10,114.713,99.9591,0.815,66.66667,47.6,15.3,16.7,35,71.4,37.3,34.1,53.4,1.425,24.303,0,63.5,73.5
"463",2014,"Baylor",6,118.684,100.799,0.857,66.66667,43.7,18.2,15.9,41.1,67.1,38.4,36.7,58.1,2.021,30.866,2,70.5,67.7
"464",2014,"Arizona St.",10,110.175,94.7808,0.834,65.625,42,16.3,17.1,24.2,69.9,38.6,32.4,56.1,1.901,27.225,0,65.6,71
"465",2014,"Arizona",1,115.193,84.7964,0.963,88.23529,41.7,16,19,37.2,74,35.6,31.4,57.5,1.079,28.319,3,90.5,68.2
"466",2014,"American",15,103.925,98.0491,0.639,62.5,34.9,22.9,19.9,27,70.1,38.2,31.3,65.7,1.72,13.329,0,56.4,77.3
"467",2014,"Albany",16,102.179,103.893,0.447,56.25,42.5,19.8,18.7,32.4,70.8,36.4,35.2,49.3,2.191,10.783,0,49.5,86.7
"468",2015,"Xavier",6,115.283,96.6313,0.886,61.76471,38.1,18,19.2,31.3,72.9,34.9,35,62.9,1.566,30.82,2,68.2,69.9
"469",2015,"Wyoming",12,104.478,98.0741,0.642,71.875,41,18.7,18.1,22.1,73.1,32.3,34.4,66.6,2.321,16.07,0,56.7,73.6
"470",2015,"Wofford",12,104.909,98.5115,0.648,81.25,38,17.3,20.1,29.3,72.3,37.1,30.8,56.7,1.986,14.245,0,56.3,73.5
"471",2015,"Wisconsin",1,126.815,93.2904,0.974,91.17647,35.6,12.4,16.7,31.9,76.3,35.7,36,50.2,2.077,30.284,5,91.1,66.5
"472",2015,"Wichita St.",7,114.962,93.3065,0.925,87.09677,35.4,15.2,21.6,34.8,73,35.9,34.4,56.5,1.835,18.668,2,79.3,71.5
"473",2015,"West Virginia",5,113.252,94.4993,0.88,71.875,40.4,18.7,28.2,40.9,68.9,31.9,36.5,57.2,1.361,29.931,2,69.9,68.6
"474",2015,"Virginia",2,115.318,84.4292,0.972,90.625,34.2,16.1,18.1,34,75.7,36.1,30.3,54.3,1.652,30.179,1,89.5,67.7
"475",2015,"Villanova",1,122.473,91.5163,0.961,94.11765,42.4,16.6,21.7,32.7,68.9,38.9,30.8,62.8,1.885,27.643,1,86.3,66.2
"476",2015,"VCU",7,110.62,94.1043,0.848,74.28571,37.5,15.7,23.8,31.7,69.2,34.2,34.4,50.7,1.389,24.351,0,68.9,80.4
